date,away,home,vegasHomeLine,bbmiHomeLine,bbmiWinProb,actualAwayScore,actualHomeScore,fakeBet,fakeWin,vegaswinprob
2026-01-04,Loyola (IL),Gonzaga,-25.5,-27.5,0.998439467591424,47,82,100,200,
2026-01-04,Washington,Indiana,-8.5,-6.5,0.7545534039309837,80,90,100,0,0
2026-01-04,Oregon State,Washington State,-6.5,-2.5,0.5661838326109037,67,81,100,0,0
2026-01-04,Tulsa,North Texas,4.5,3.5,0.36108671638645584,67,72,100,200,0
2026-01-04,New Mexico State,Missouri State,-1.5,9.5,0.1613587536936879,82,89,100,0,0
2026-01-04,Indiana State,Drake,-5.5,-2.5,0.5661838326109039,72,74,100,200,0
2026-01-04,Robert Morris,Oakland,-2.5,-6.5,0.7439449350805238,73,96,100,200,0
2026-01-04,Louisiana Tech,Western Kentucky,-9.5,-3.5,0.6263578246786301,61,66,100,200,0
2026-01-04,Youngstown State,Northern Kentucky,-3.5,3.5,0.3778580772883966,79,94,100,0,0
2026-01-04,Seattle,Saint Mary's,-12.5,-6.5,0.7614923074118694,76,93,100,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2026-01-05,Nebraska,Ohio State,-1.5,4.5,0.348679170938738,72,69,100,200,0
2026-01-05,Oregon,Rutgers,6.5,10.5,0.13810144330898888,85,88,100,0,0
2026-01-05,USC,Michigan State,-10.5,-3.5,0.6389132836135442,51,80,100,0,0
,,,,,,,,,,
2026-01-05,Milwaukee,Green Bay,1.5,-1.5,0.5354148930107596,76,79,100,200,0
2026-01-05,Columbia,Cornell,-2.5,-2.5,0.5792597094391031,104,99,,,0
2026-01-05,Yale,Brown,8.5,12.5,0.08762031049153207,70,53,100,200,0
2026-01-05,Dartmouth,Harvard,-6.5,1.5,0.4734235356996348,76,68,100,200,0
2026-01-05,Texas Southern,Grambling State,-6.5,-2.5,0.5749100489006196,67,84,100,0,0
2026-01-05,William & Mary,Charleston,-2.5,14.5,0.056042740072125286,79,88,100,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2026-01-06,UCLA,Wisconsin,-3.5,5.5,0.30075780765254845,72,80,100,0,0
2026-01-06,Duke,Louisville,1.5,2.5,0.41640028510354743,84,73,100,200,0
2026-01-06,Iowa,Minnesota,6.5,10.5,0.14558565762265396,67,70,100,0,0
2026-01-06,Bowling Green,Kent State,-1.5,-1.5,0.5442358810453117,93,96,,,0
2026-01-06,Georgia,Florida,-8.5,0.5,0.49113534559826877,77,92,100,0,0
2026-01-06,UCF,Oklahoma State,-3.5,4.5,0.34049553148902634,76,87,100,0,0
2026-01-06,Georgetown,DePaul,-2.5,-2.5,0.6051370895359749,50,56,,,0
2026-01-06,Toledo,Northern Illinois,6.5,11.5,0.10872571321259117,75,61,100,200,0
2026-01-06,TCU,Kansas,-7.5,-8.5,0.7976716190363569,100,104,100,0,0
2026-01-06,Texas Tech,Houston,-6.5,-3.5,0.6221419227116036,65,69,100,200,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2026-01-07,Furman,Chattanooga,1.5,-4.5,0.633826412044156,78,67,100,0,0
2026-01-07,Loyola (MD),Army,-3.5,-4.5,0.6155531233297542,84,76,100,0,0
2026-01-07,Holy Cross,LeHigh,-2.5,-7.5,0.7500844591438699,58,66,100,0,0
2026-01-07,UNC Greensboro,Wofford,-6.5,-7.5,0.7638770504602733,85,97,100,0,0
2026-01-07,Charleston Southern,Winthrop,-6.5,-12.5,0.8943524402446804,77,81,100,183,0
2026-01-07,Indiana,Maryland,7.5,9.5,0.17386485355922032,84,66,100,195,0
2026-01-07,Longwood,UNC Asheville,-3.5,-2.5,0.5408921142082894,61,72,100,0,0
2026-01-07,American,Colgate,-5.5,-4.5,0.6157814126592646,62,64,100,0,0
2026-01-07,Belmont,Northern Iowa,-1.5,1.5,0.485373782649155,78,65,100,0,0
2026-01-07,Boston University,Lafayette,-1.5,4.5,0.3806975124161871,83,67,100,200,0
2026-01-07,Bucknell,Navy,-7.5,-16.5,0.9526640953163941,55,76,100,183,0
2026-01-07,Duquesne,Saint Joseph's,2.5,3.5,0.4149616264487206,90,97,100,0,0
2026-01-07,East Carolina,Temple,-8.5,-16.5,0.9487319979064776,67,75,100,0,0
2026-01-07,VMI,East Tennessee State,-16.5,-21.5,0.9871348595654292,67,81,100,187,0
2026-01-07,Florida International,Jacksonville State,-1.5,-2.5,0.5352294501547072,64,71,100,0,0
2026-01-07,George Mason,Fordham,4.5,7.5,0.26232820885522357,67,58,100,187,0
2026-01-07,Marshall,James Madison,-2.5,6.5,0.2813837271506354,66,64,100,187,0
2026-01-07,Missouri State,Kennesaw State,-5.5,-13.5,0.9146079807015621,80,90,100,0,0
2026-01-07,Missouri,Kentucky,-13.5,-9.5,0.8006032022196643,73,68,100,195,0
2026-01-07,La Salle,Rhode Island,-9.5,-8.5,0.768388939954702,79,72,100,187,0
2026-01-07,Xavier,Marquette,-4.5,2.5,0.433886113263376,65,66,100,195,0
2026-01-07,The Citadel,Mercer,-15.5,-24.5,0.9943120265876887,63,101,100,187,0
2026-01-07,Miami (FL),Wake Forest,-1.5,-1.5,0.5080905858067802,81,77,,,0
,,,,,,,,,,
