GameDate,HomeTeam,AwayTeam,HomeScore,AwayScore
01/29/2026,Abilene Christian,Utah Tech,70.0,76.0
01/31/2026,Abilene Christian,Southern Utah,76.0,79.0
11/06/2025,Abilene Christian,Omaha,73.0,71.0
11/11/2025,Abilene Christian,-2146826246,104.0,63.0
11/28/2025,Abilene Christian,-2146826246,87.0,55.0
01/03/2026,Abilene Christian,Utah Valley,85.0,68.0
01/15/2026,Abilene Christian,California Baptist,58.0,74.0
12/06/2025,Abilene Christian,New Mexico State,77.0,69.0
01/01/2026,Abilene Christian,Utah Tech,64.0,79.0
11/24/2025,Abilene Christian,UTSA,61.0,50.0
11/25/2025,Abilene Christian,William & Mary,58.0,92.0
11/03/2025,Abilene Christian,-2146826246,92.0,55.0
11/21/2025,Air Force,SIU-Edwardsville,77.0,63.0
11/19/2025,Air Force,Alabama State,66.0,64.0
11/15/2025,Air Force,Miami (OH),61.0,76.0
11/23/2025,Air Force,IU Indy,98.0,85.0
11/26/2025,Air Force,Northern Colorado,53.0,71.0
01/31/2026,Air Force,Fresno State,62.0,79.0
12/03/2025,Air Force,Pacific,65.0,80.0
02/07/2026,Air Force,San Diego State,54.0,88.0
12/30/2025,Air Force,Wyoming,56.0,68.0
01/06/2026,Air Force,Utah State,62.0,99.0
01/10/2026,Air Force,New Mexico,49.0,91.0
01/17/2026,Air Force,Nevada,66.0,81.0
11/11/2025,Air Force,LIU,72.0,76.0
11/08/2025,Air Force,Austin Peay,54.0,74.0
12/29/2025,Akron,-2146826246,115.0,64.0
12/13/2025,Akron,Murray State,100.0,115.0
11/29/2025,Akron,Milwaukee,105.0,81.0
11/21/2025,Akron,Iona,96.0,75.0
11/12/2025,Akron,Penn State,109.0,51.0
01/30/2026,Akron,Kent State,69.0,52.0
01/27/2026,Akron,Toledo,91.0,81.0
11/08/2025,Akron,Princeton,104.0,69.0
11/03/2025,Akron,James Madison,85.0,71.0
01/17/2026,Akron,Western Michigan,104.0,89.0
12/03/2025,Akron,Bucknell,97.0,77.0
01/13/2026,Akron,Ball State,87.0,77.0
