team,model_rank,kenpom_rank,net_ranking,last_ten,record,conference,pointMargin,turnoversForced,reboundsPerGame,pointsPerGame,fieldGoalPct,threePointPct,assistsPerGame,strengthOfSchedule,qualityWins,opponentFieldGoalPct,opponentThreePointPct
Michigan,1,1,1,10-0,24-1,B10,21.099999999999994,11.2,37.2,85.8,0.514,0.354,18.3,9,1,0.371,0.291
Duke,6,2,2,9-1,24-2,ACC,20.299999999999997,12.4,38.3,84.8,0.501,0.349,17.3,18,4,0.392,0.31
Arizona,4,3,3,8-2,23-2,B12,18.300000000000004,11.8,38.2,81.7,0.508,0.353,16.4,26,10,0.389,0.316
Houston,12,4,6,8-2,23-3,B12,17.200000000000003,14.5,35.6,82.5,0.452,0.341,16.2,38,21,0.397,0.315
Florida,22,5,9,9-1,19-6,SEC,14.299999999999997,10.4,42.4,82.7,0.47,0.295,15.5,5,8,0.405,0.329
Illinois,7,6,4,8-2,21-5,B10,16.89999999999999,7.6,40.9,88.6,0.465,0.356,15.3,15,2,0.404,0.318
Iowa State,15,7,5,7-3,23-3,B12,19.299999999999997,14.5,34.6,84.7,0.505,0.398,18.3,54,13,0.416,0.319
Purdue,2,8,8,7-3,21-4,B10,14.600000000000009,11.2,36.9,86.4,0.502,0.378,20.7,11,3,0.428,0.322
Uconn,11,9,10,9-1,24-2,BE,14.200000000000003,12.4,34.2,80.3,0.49,0.368,18.8,25,13,0.4,0.297
Gonzaga,10,10,7,9-1,25-2,WCC,19.700000000000003,13.7,36.4,84.5,0.515,0.342,17.9,85,18,0.4,0.309
Nebraska,5,11,11,7-3,22-3,B10,13.700000000000003,12.7,34.1,80.9,0.471,0.36,18.8,48,5,0.398,0.299
Vanderbilt,8,12,13,6-4,21-4,SEC,14.099999999999994,12.3,32.8,84.8,0.484,0.359,16.3,28,16,0.415,0.295
Michigan State,3,13,15,10-0,20-5,B10,12.5,10.4,40,81.5,0.466,0.346,19.2,20,6,0.397,0.314
Louisville,14,14,12,8-2,19-6,ACC,15.400000000000006,11.2,36.6,84,0.473,0.357,17.3,27,20,0.403,0.323
Kansas,16,15,14,8-2,19-6,B12,9.299999999999997,8.8,37.7,78.7,0.471,0.354,15,4,11,0.385,0.299
Texas Tech,20,16,16,8-2,19-6,B12,9.400000000000006,10.4,34.7,80.4,0.465,0.389,15.7,6,9,0.438,0.31
Arkansas,19,17,18,7-3,19-6,SEC,11.5,10.3,30.7,82.7,0.504,0.371,16.1,13,12,0.436,0.309
Alabama,29,18,21,7-3,18-7,SEC,8,8.1,34.3,81.6,0.456,0.358,14.8,3,17,0.427,0.317
Tennessee,21,19,22,7-3,18-7,SEC,11.900000000000006,10.9,41.9,82.4,0.469,0.352,17.8,14,22,0.404,0.299
Virginia,23,20,19,9-1,22-3,ACC,15.100000000000009,10.9,41.2,87.4,0.462,0.354,17.9,77,24,0.395,0.298
St. John's,45,21,24,10-0,20-5,BE,11.799999999999997,12.7,33.3,80.5,0.46,0.346,15.2,40,57,0.424,0.33
Brigham Young,40,22,20,5-5,19-6,B12,11.700000000000003,10.6,35.4,83.8,0.485,0.358,14.3,21,28,0.434,0.33
Saint Louis,9,23,17,10-0,24-1,A10,22.300000000000004,10.5,37.5,86.2,0.52,0.409,18.5,193,42,0.363,0.269
Utah State,34,24,23,8-2,22-3,MWC,15.099999999999994,13.3,31.5,82.6,0.513,0.366,17.7,86,51,0.41,0.325
Iowa,27,25,27,6-4,18-7,B10,13.099999999999994,14,29.5,83.8,0.501,0.368,16.9,73,31,0.449,0.322
Villanova,52,26,30,8-2,20-5,BE,9,12.7,34.1,81.8,0.46,0.362,15.9,57,50,0.441,0.335
Kentucky,28,27,28,8-2,17-8,SEC,9.5,10.7,35.2,81.6,0.47,0.349,16.2,8,19,0.418,0.311
North Carolina,32,28,25,7-3,20-5,ACC,11.200000000000003,9.1,36,81.2,0.476,0.345,16.7,63,15,0.41,0.34
Texas,43,29,37,7-3,16-9,SEC,10.5,9.4,35.5,82.7,0.493,0.346,12.4,32,23,0.432,0.349
Saint Mary's,13,30,26,8-2,23-4,WCC,15.200000000000003,10.7,39.8,81.8,0.463,0.384,16.6,105,46,0.4,0.303
NC State,35,31,29,7-3,18-8,ACC,10.5,12.5,32.2,84.1,0.478,0.394,16.2,41,40,0.439,0.347
Wisconsin,17,32,33,8-2,18-7,B10,8.100000000000009,9.6,33.3,83.2,0.45,0.354,15.8,33,7,0.44,0.329
Auburn,65,33,32,5-5,14-11,SEC,4.700000000000003,11,32.9,80.9,0.46,0.33,12.5,2,25,0.457,0.356
Clemson,44,34,31,7-3,20-6,ACC,10.600000000000009,11.7,34.4,79.4,0.461,0.342,13.7,66,33,0.405,0.306
Texas A&M,39,35,43,5-5,17-8,SEC,10.599999999999994,12.8,33.9,85,0.465,0.37,18.2,68,44,0.439,0.321
Indiana,31,36,34,5-5,17-9,B10,9.299999999999997,10.4,32,82.5,0.47,0.348,17.8,45,30,0.415,0.309
Miami (FL),53,37,35,7-3,20-5,ACC,13.100000000000009,12.2,35.7,81.9,0.508,0.333,16.5,97,37,0.43,0.351
