Team,Region,CurrentSeed,RoundOf32Pct,Sweet16Pct,Elite8Pct,FinalFourPct,ChampionshipPct,WinTitlePct
Duke,East,1,0.8736881815003429,0.636,0.408,0.229,0.125,0.076
NC State,East,8,0.5984485254747299,0.229,0.102,0.039,0.016,0.009
Arkansas,East,5,0.6503339513891311,0.356,0.17,0.075,0.032,0.011
Saint Louis,East,4,0.7366694565437575,0.434,0.213,0.109,0.056,0.026
St. John's,East,6,0.532146476728502,0.186,0.069,0.03,0.013,0.002
Nebraska,East,3,0.8442309732877233,0.601,0.349,0.198,0.108,0.057
North Carolina,East,7,0.560231255052432,0.22,0.097,0.048,0.018,0.008
Uconn,East,2,0.8882612916426499,0.618,0.361,0.201,0.122,0.076
Houston,South,1,0.9333078487506319,0.667,0.382,0.193,0.102,0.051
Auburn,South,8,0.4349530431025864,0.126,0.055,0.014,0.001,0.001
Texas Tech,South,5,0.6673715253251491,0.359,0.186,0.1,0.042,0.017
Louisville,South,4,0.7171664576377308,0.389,0.203,0.089,0.037,0.014
Alabama,South,6,0.6012819470942521,0.208,0.095,0.041,0.019,0.005
Purdue,South,3,0.8776979142031169,0.636,0.441,0.277,0.173,0.095
Kentucky,South,7,0.6485220387703737,0.38,0.148,0.083,0.042,0.021
Florida,South,2,0.7991094315066648,0.414,0.186,0.1,0.039,0.017
Arizona,West,1,0.9713998936722577,0.777,0.523,0.327,0.177,0.09
Villanova,West,8,0.5496062761879973,0.127,0.051,0.01,0.006,0.002
Brigham Young,West,5,0.6339081685705796,0.254,0.085,0.028,0.012,0.005
Vanderbilt,West,4,0.7438018905997899,0.516,0.26,0.136,0.066,0.033
Utah State,West,6,0.5631217925657547,0.203,0.088,0.031,0.01,0.003
Michigan State,West,3,0.8752024355681362,0.641,0.383,0.218,0.122,0.069
Saint Mary's,West,7,0.5331184044872637,0.235,0.113,0.039,0.007,0.001
Gonzaga,West,2,0.847134837582557,0.505,0.259,0.131,0.058,0.025
Michigan,Midwest,1,0.9639994468055477,0.701,0.462,0.298,0.198,0.105
Indiana,Midwest,8,0.49414905632203004,0.13,0.052,0.025,0.006,0.003
Virginia,Midwest,5,0.7020980909977357,0.338,0.145,0.064,0.036,0.017
Kansas,Midwest,4,0.8346957360874052,0.526,0.251,0.135,0.059,0.032
Tennessee,Midwest,6,0.6348275098003773,0.314,0.168,0.067,0.031,0.018
Iowa State,Midwest,3,0.8653961312277013,0.516,0.291,0.148,0.079,0.039
Iowa,Midwest,7,0.5437953125423165,0.225,0.097,0.039,0.015,0.006
Illinois,Midwest,2,0.8873288516763133,0.551,0.3,0.146,0.071,0.033
Navy,East,16,0.1263118184996571,0.032,0.002,0,0,0
Miami (FL),East,9,0.40155147452527007,0.103,0.034,0.011,0.003,0.001
Yale,East,12,0.3496660486108689,0.129,0.047,0.017,0.005,0.001
High Point,East,13,0.2633305434562425,0.081,0.024,0.007,0.003,0.001
Miami (OH),East,11,0.467853523271498,0.172,0.06,0.022,0.005,0.004
Hofstra,East,14,0.15576902671227666,0.041,0.012,0.001,0,0
Ohio State,East,10,0.439768744947568,0.131,0.045,0.011,0.006,0.002
Marist,East,15,0.11173870835735011,0.031,0.007,0.002,0,0
Howard,South,16,0.0367834535139262,0.0077215735217395,0.0016546228975156073,0,0,0
Clemson,South,9,0.5650469568974136,0.193,0.085,0.029,0.008,0.002
Tulsa,South,12,0.3326284746748509,0.154,0.056,0.015,0.008,0.006
Liberty,South,13,0.2828335423622692,0.098,0.03,0.01,0.003,0
New Mexico,South,11,0.3987180529057479,0.117,0.058,0.03,0.011,0.002
East Tennessee State,South,14,0.12230208579688306,0.039,0.011,0.002,0,0
Texas,South,10,0.35147796122962627,0.149,0.047,0.015,0.003,0
North Dakota State,South,15,0.2008905684933352,0.057,0.014,0.002,0,0
Bethune-Cookman,West,16,0.028600106327742347,0.002,0,0,0,0
Georgia,West,9,0.4503937238120027,0.094,0.031,0.009,0.001,0
McNeese State,West,12,0.36609183142942037,0.106,0.017,0.003,0,0
Utah Valley,West,13,0.25619810940021015,0.124,0.033,0.014,0.002,0.001
Santa Clara,West,11,0.4368782074342453,0.125,0.048,0.02,0.001,0
Portland State,West,14,0.12479756443186385,0.031,0.007,0,0,0
UCLA,West,10,0.46688159551273634,0.226,0.097,0.034,0.014,0.001
Austin Peay,West,15,0.15286516241744297,0.034,0.005,0,0,0
Long Island,Midwest,16,0.0198557798795898,0.00275770482919268,0,0,0,0
Southern Methodist,Midwest,9,0.5058509436779699,0.164,0.066,0.028,0.009,0.006
Belmont,Midwest,12,0.2979019090022643,0.096,0.02,0.004,0.001,0
Hawaii,Midwest,13,0.16530426391259478,0.04,0.004,0,0,0
San Diego State,Midwest,11,0.1861470242743291,0.07595289174634462,0.027526551371158454,0.009685268075037234,0.0040780076105419935,0.0020390038052709968
Troy,Midwest,14,0.13460386877229868,0.021,0.005,0,0,0
Wisconsin,Midwest,10,0.4562046874576835,0.2,0.081,0.026,0.011,0.002
Wright State,Midwest,15,0.11267114832368674,0.024,0.004,0.001,0,0
Texas A&M,Play-In,11,0.17902546592529361,0.07304710825365537,0.026473448628841545,0.009314731924962766,0.003921992389458007,0.0019609961947290033
Bethune-Cookman,Play-In,16,0.016144773314862478,0.00224229517080732,0,0,0,0
UMBC,Play-In,16,0.029908697735441914,0.0062784264782605,0.0013453771024843927,0,0,0
UCF,Play-In,11,0,0,0,0,0,0
