division,team,ranking,record,conf_record
1.0,Appleton East,70.0,1-17,0-13
1.0,Appleton North,2.0,16-1,12-1
1.0,Appleton West,72.0,5-14,1-12
1.0,Arrowhead,14.0,12-6,8-1
1.0,Badger,29.0,11-5,6-3
1.0,Bay Port,20.0,13-5,9-4
1.0,Beloit Memorial,10.0,14-2,8-1
1.0,Brookfield East,7.0,15-4,8-3
1.0,Chippewa Falls,65.0,3-14,2-8
1.0,D.C. Everest,12.0,14-2,4-1
1.0,De Pere,4.0,16-2,12-1
1.0,Eau Claire Memorial,59.0,5-12,4-5
1.0,Eau Claire North,47.0,6-10,2-7
1.0,Fond du Lac,55.0,4-13,4-8
1.0,Franklin,44.0,8-7,5-3
1.0,Germantown,18.0,11-6,9-3
1.0,Green Bay Preble,54.0,7-11,3-9
1.0,Hamilton,53.0,6-13,3-8
1.0,Hartford,26.0,10-5,4-4
1.0,Holmen,43.0,8-8,3-5
1.0,Homestead,19.0,10-8,4-3
1.0,Hortonville,60.0,5-13,4-9
1.0,Hudson,30.0,8-2,8-1
1.0,Janesville Craig,36.0,9-9,5-7
1.0,Janesville Parker,63.0,2-14,0-11
1.0,Kaukauna,3.0,17-2,12-1
1.0,Kenosha Bradford,33.0,10-6,6-3
1.0,Kenosha Indian Trail,61.0,4-11,2-5
1.0,Kenosha Tremper,67.0,5-11,2-5
1.0,Kettle Moraine,27.0,13-5,7-2
1.0,Kimberly,31.0,9-8,8-4
1.0,Madison East,56.0,5-9,4-7
1.0,Madison La Follette,21.0,11-5,8-4
1.0,Madison Memorial,9.0,16-1,11-1
1.0,Madison West,37.0,8-9,4-8
1.0,Manitowoc Lincoln,58.0,8-11,4-9
1.0,Marquette University,34.0,7-9,5-6
1.0,Marshfield,6.0,15-2,5-0
1.0,Menomonee Falls,25.0,9-8,5-6
1.0,Middleton,13.0,15-2,11-1
1.0,Milwaukee Hamilton,38.0,11-5,8-2
1.0,Milwaukee King,52.0,5-8,3-5
1.0,Milwaukee Pulaski/Carmen South/Carmen Southeast,42.0,7-8,7-3
1.0,Milwaukee Reagan,45.0,7-9,5-3
1.0,Milwaukee Riverside,46.0,6-13,4-6
1.0,Milwaukee South,35.0,6-10,3-6
1.0,Monona Grove,39.0,7-8,3-5
1.0,Mukwonago,51.0,5-12,2-7
1.0,Muskego,50.0,7-10,3-6
1.0,Neenah,24.0,12-6,10-3
1.0,Oak Creek,40.0,8-8,5-5
1.0,Oconomowoc,62.0,5-14,4-7
1.0,Oregon,28.0,9-8,6-3
1.0,Oshkosh North,15.0,10-6,7-5
1.0,Oshkosh West,48.0,7-11,5-7
1.0,Pewaukee,32.0,9-7,4-4
1.0,Racine Case,23.0,15-4,9-0
1.0,Racine Horlick,68.0,4-12,1-8
1.0,Racine Park,41.0,8-9,4-4
1.0,Sheboygan North,22.0,12-5,8-4
1.0,Stevens Point,16.0,12-5,4-1
1.0,Sun Prairie East,69.0,2-15,2-10
1.0,Sun Prairie West,49.0,5-13,4-8
1.0,Superior,17.0,4-2,5-2
1.0,Verona,8.0,12-3,10-2
1.0,Waunakee,11.0,13-5,5-3
1.0,Wausau West,57.0,8-9,1-5
1.0,West Allis Central,5.0,14-1,8-0
1.0,West Allis Hale,71.0,2-17,1-11
1.0,Westosha Central,64.0,4-13,3-7
1.0,Wisconsin Lutheran,1.0,14-0,8-0
1.0,Wisconsin Rapids,66.0,3-13,0-6
2.0,Antigo,80.0,3-13,1-8
2.0,Ashwaubenon,70.0,3-15,2-10
2.0,Baraboo,58.0,6-12,1-8
2.0,Beaver Dam,6.0,14-2,7-1
2.0,Brookfield Central,15.0,9-8,8-4
2.0,Burlington,30.0,10-8,6-4
2.0,Catholic Memorial,39.0,9-10,5-5
2.0,Cedarburg,46.0,6-9,1-6
2.0,Cudahy,73.0,6-10,1-7
2.0,DeForest,27.0,10-9,6-3
2.0,Edgewood,57.0,7-10,3-5
2.0,Elkhorn Area,56.0,4-14,2-7
2.0,Fort Atkinson,45.0,7-11,3-5
2.0,Fox Valley Lutheran,26.0,11-6,8-2
2.0,Golda Meir,16.0,13-2,8-0
2.0,Grafton,78.0,3-15,0-8
2.0,Green Bay East,85.0,3-13,2-9
2.0,Green Bay Southwest,86.0,1-17,0-13
2.0,Green Bay West,88.0,0-15,0-11
2.0,Greendale,19.0,14-4,5-3
2.0,Greenfield,29.0,9-9,5-4
2.0,Jefferson,81.0,4-12,2-7
2.0,Kewaskum,72.0,5-14,2-6
2.0,La Crosse Central,9.0,13-3,7-2
2.0,La Crosse Logan,83.0,2-14,1-7
2.0,Lakeland,76.0,4-13,2-7
2.0,Luxemburg-Casco,55.0,11-7,7-4
2.0,Marinette,82.0,3-13,0-11
2.0,Martin Luther,50.0,9-8,6-5
2.0,McFarland,10.0,15-3,8-1
2.0,Medford,54.0,6-10,5-4
2.0,Menasha,63.0,7-10,5-6
2.0,Menomonie,31.0,11-5,5-4
2.0,Merrill,62.0,8-11,5-4
2.0,Milton,24.0,11-7,4-5
2.0,Milwaukee Academy of Science,17.0,4-5,0-0
2.0,Milwaukee Arts,66.0,5-9,4-5
2.0,Milwaukee Bay View,12.0,14-3,9-1
2.0,Milwaukee Bradley Tech,38.0,8-8,6-4
2.0,Milwaukee Lutheran,37.0,9-6,5-3
2.0,Milwaukee Marshall,65.0,3-12,0-9
2.0,Milwaukee Vincent,23.0,10-2,8-1
2.0,Monroe,28.0,12-5,7-2
2.0,Mount Horeb,22.0,14-5,6-3
2.0,New Berlin Eisenhower,52.0,4-14,2-6
2.0,New Berlin West,11.0,15-2,7-1
2.0,New London,36.0,10-6,6-4
2.0,New Richmond,25.0,11-4,6-2
2.0,Nicolet,33.0,7-7,4-4
2.0,Notre Dame,13.0,13-5,10-2
2.0,Obama SCTE,74.0,3-10,2-7
2.0,Onalaska,5.0,12-1,8-1
2.0,Pius XI Catholic,48.0,7-10,4-4
2.0,Plymouth,34.0,12-6,6-2
2.0,Port Washington,8.0,17-1,8-0
2.0,Portage,87.0,1-16,0-8
2.0,Pulaski,44.0,8-9,5-7
2.0,Reedsburg,77.0,5-12,1-7
2.0,Rhinelander,21.0,15-2,8-1
2.0,Rice Lake,75.0,3-14,1-8
2.0,River Falls,14.0,11-3,8-1
2.0,Sauk Prairie,32.0,14-5,8-1
2.0,Shawano,68.0,6-11,2-8
2.0,Sheboygan South,35.0,9-6,3-4
2.0,Shorewood,61.0,5-10,3-5
2.0,Slinger,2.0,13-3,7-1
2.0,South Milwaukee,89.0,0-16,0-8
2.0,Sparta,41.0,9-8,2-7
2.0,St Augustine Prep,69.0,5-11,0-0
2.0,Stoughton,42.0,8-9,5-4
2.0,Tenor/Veritas,71.0,8-9,6-7
2.0,Tomah,53.0,8-10,2-6
2.0,Union Grove,43.0,9-10,3-7
2.0,Waterford,3.0,17-2,10-0
2.0,Watertown,67.0,5-12,2-6
2.0,Waukesha North,59.0,7-11,1-8
2.0,Waukesha South,49.0,4-10,1-7
2.0,Waukesha West,20.0,11-6,4-5
2.0,Waupaca,79.0,2-14,1-9
2.0,Wausau East,64.0,4-12,2-3
2.0,Wauwatosa East,40.0,8-9,4-7
2.0,Wauwatosa West,4.0,14-4,8-3
2.0,West Bend East,84.0,2-14,0-8
2.0,West Bend West,47.0,9-9,4-4
2.0,West De Pere,7.0,12-4,9-3
2.0,West Salem,18.0,13-2,8-0
2.0,Whitefish Bay,1.0,14-4,7-1
2.0,Whitnall,51.0,8-8,7-2
2.0,Wilmot Union,60.0,6-11,0-9
3.0,Adams-Friendship,31.0,11-6,7-2
3.0,Altoona,17.0,14-3,7-2
3.0,Amery,63.0,10-8,3-7
3.0,Amherst,66.0,9-9,4-7
3.0,Aquinas,5.0,14-3,7-2
3.0,Arcadia,79.0,4-12,1-6
3.0,Ashland,61.0,7-8,6-6
3.0,Audubon Technology,16.0,12-3,8-1
3.0,Baldwin-Woodville,89.0,2-12,2-8
3.0,Barron,88.0,6-13,5-8
3.0,Berlin,24.0,15-3,7-2
3.0,Big Foot,80.0,6-10,5-5
3.0,Black River Falls,76.0,7-8,1-5
3.0,Bloomer,87.0,3-12,1-9
3.0,Brillion,19.0,14-3,10-0
3.0,Brookfield Academy,65.0,5-8,5-3
3.0,Brown Deer,28.0,9-6,4-4
3.0,Campbellsport,78.0,6-11,3-5
3.0,Carmen Northwest,40.0,6-10,3-5
3.0,Chilton,95.0,1-15,0-9
3.0,Clintonville,94.0,2-16,2-10
3.0,Columbus,30.0,11-4,3-1
3.0,Cristo Rey Jesuit,100.0,0-15,0-10
3.0,Delavan-Darien,69.0,4-11,2-6
3.0,Denmark,38.0,11-7,7-5
3.0,Dodgeville,29.0,11-7,4-2
3.0,Dr Howard Fuller Collegiate Academy,11.0,14-2,11-0
3.0,East Troy,15.0,13-3,8-0
3.0,Edgerton,21.0,10-7,8-1
3.0,Elk Mound,75.0,7-10,6-3
3.0,Ellsworth,44.0,9-8,4-6
3.0,Evansville,62.0,8-8,5-3
3.0,Freedom,3.0,17-1,11-0
3.0,Gale-Ettrick-Trempealeau,20.0,15-2,6-1
3.0,Hayward,41.0,10-5,8-3
3.0,Hmong American Peace Academy,99.0,1-14,1-11
3.0,Kenosha St. Joseph,14.0,11-7,5-6
3.0,Kettle Moraine Lutheran,10.0,13-5,7-2
3.0,Kiel,58.0,12-6,8-2
3.0,Kingdom Prep Lutheran,34.0,8-7,5-4
3.0,Lake Country Lutheran,13.0,11-3,11-0
3.0,Lake Mills,6.0,15-1,5-0
3.0,Lakeside Lutheran,32.0,13-4,3-1
3.0,Lancaster,37.0,10-4,5-1
3.0,Little Chute,22.0,11-6,9-3
3.0,Lodi,18.0,11-6,2-3
3.0,Mauston,42.0,11-5,8-1
3.0,Mayville,51.0,9-5,7-2
3.0,Menominee Nation,59.0,10-8,4-5
3.0,Messmer,50.0,8-7,5-4
3.0,Milwaukee Madison,98.0,2-9,2-7
3.0,Milwaukee North,81.0,1-13,0-10
3.0,Milwaukee School of Languages,49.0,7-6,4-3
3.0,Milwaukee Washington,72.0,2-9,1-8
3.0,Mineral Point,33.0,13-3,7-1
3.0,Mosinee,8.0,14-3,9-0
3.0,New Glarus,48.0,11-5,4-0
3.0,North Fond du Lac,86.0,4-14,0-9
3.0,Northland Pines,35.0,11-6,5-4
3.0,Northwestern,46.0,11-5,9-1
3.0,Oconto Falls,74.0,7-9,5-4
3.0,Oostburg,9.0,16-2,8-0
3.0,Osceola,23.0,14-4,7-3
3.0,Peshtigo,47.0,10-6,7-4
3.0,Platteville,53.0,6-8,3-2
3.0,Prescott,43.0,12-7,6-4
3.0,Racine Lutheran,2.0,16-2,9-1
3.0,Racine St. Catherine's,4.0,15-2,8-2
3.0,Richland Center,82.0,4-9,2-3
3.0,Ripon,70.0,5-11,5-4
3.0,River Valley,56.0,10-8,3-3
3.0,Saint Anthony,77.0,8-7,8-5
3.0,Saint Croix Central,39.0,13-6,9-1
3.0,Saint Croix Falls,52.0,10-5,8-3
3.0,Saint Francis,83.0,3-10,2-6
3.0,Saint John's Northwestern,68.0,4-7,3-6
3.0,Seymour,1.0,17-0,11-0
3.0,Sheboygan Falls,92.0,2-14,2-8
3.0,Shoreland Lutheran,26.0,10-6,3-6
3.0,Somerset,71.0,6-10,1-8
3.0,Spooner,97.0,1-16,0-12
3.0,St Thomas More,45.0,6-10,2-7
3.0,Stanley-Boyd,25.0,14-3,7-3
3.0,Sturgeon Bay,73.0,8-8,3-6
3.0,Tomahawk,96.0,1-15,0-8
3.0,Turner,27.0,11-5,6-2
3.0,Two Rivers,93.0,5-14,4-6
3.0,University School of Milwaukee,55.0,8-8,5-4
3.0,Viroqua,91.0,3-12,0-4
3.0,Watertown Luther Prep,54.0,5-12,2-6
3.0,Waupun,90.0,1-15,1-4
3.0,Wautoma,84.0,5-13,2-7
3.0,Westby,57.0,10-7,3-3
3.0,Westfield,67.0,8-9,3-6
3.0,Whitewater,85.0,6-11,3-5
3.0,Winneconne,12.0,12-6,7-4
3.0,Wisconsin Dells,64.0,8-8,4-5
3.0,Wittenberg-Birnamwood,36.0,15-3,8-1
3.0,Wrightstown,60.0,8-9,6-5
3.0,Xavier,7.0,11-6,6-3
4.0,Abbotsford,94.0,4-14,1-10
4.0,Algoma,21.0,11-5,6-3
4.0,Auburndale,45.0,8-8,5-6
4.0,Augusta,86.0,6-12,4-11
