Team,Division,Region,WIAASeed,BBMISeed,Seed,slug,RegionalSemis,RegionalChampion,SectionalSemiFinalist,SectionalFinalist,StateQualifier,StateFinalist,StateChampion
D.C. Everest,1,1,1,15,1,dc-everest,1.0,0.976,0.5853333333333334,0.17533333333333334,0.05333333333333334,0.008,0.004
Appleton North,1,1,2,4,2,appleton-north,1.0,0.9886666666666667,0.7986666666666666,0.606,0.4166666666666667,0.23533333333333334,0.12133333333333333
Marshfield,1,1,3,11,3,marshfield,1.0,0.9733333333333334,0.5266666666666666,0.186,0.108,0.024,0.010666666666666666
Kaukauna,1,1,4,5,4,kaukauna,1.0,0.9666666666666667,0.7073333333333334,0.5546666666666666,0.25466666666666665,0.132,0.06066666666666667
Stevens Point,1,1,5,17,5,stevens-point,1.0,0.9486666666666667,0.2853333333333333,0.19866666666666666,0.06133333333333333,0.006666666666666667,0.0026666666666666666
Superior,1,1,6,20,6,superior,1.0,0.9753333333333334,0.4706666666666667,0.12333333333333334,0.059333333333333335,0.004666666666666667,0.0013333333333333333
Kimberly,1,1,7,19,7,kimberly,1.0,0.8973333333333333,0.192,0.084,0.03266666666666666,0.002,0.0
Hudson,1,1,8,37,8,hudson,1.0,0.49466666666666664,0.16333333333333333,0.024666666666666667,0.004,0.0,0.0
Neenah,1,1,9,24,9,neenah,1.0,0.5053333333333333,0.24933333333333332,0.046,0.01,0.0,0.0
Holmen,1,1,10,44,10,holmen,1.0,0.10266666666666667,0.006666666666666667,0.0006666666666666666,0.0,0.0,0.0
Wausau West,1,1,11,55,11,wausau-west,1.0,0.024666666666666667,0.0026666666666666666,0.0,0.0,0.0,0.0
Eau Claire Memorial,1,1,12,57,12,eau-claire-memorial,1.0,0.051333333333333335,0.0033333333333333335,0.0006666666666666666,0.0,0.0,0.0
Eau Claire North,1,1,13,56,13,eau-claire-north,1.0,0.03333333333333333,0.004,0.0,0.0,0.0,0.0
Appleton West,1,1,14,63,14,appleton-west,1.0,0.02666666666666667,0.0,0.0,0.0,0.0,0.0
Hortonville,1,1,15,65,15,hortonville,1.0,0.011333333333333334,0.0026666666666666666,0.0,0.0,0.0,0.0
Wisconsin Rapids,1,1,16,68,16,wisconsin-rapids,1.0,0.024,0.002,0.0,0.0,0.0,0.0
De Pere,1,2,1,7,1,de-pere,1.0,0.9746666666666667,0.7133333333333334,0.552,0.2833333333333333,0.12266666666666666,0.05533333333333333
Arrowhead,1,2,2,12,2,arrowhead,1.0,0.9413333333333334,0.55,0.31266666666666665,0.17066666666666666,0.04666666666666667,0.015333333333333332
Brookfield East,1,2,3,9,3,brookfield-east,1.0,0.9573333333333334,0.6793333333333333,0.322,0.22933333333333333,0.082,0.028
Hartford,1,2,4,23,4,hartford,1.0,0.768,0.46266666666666667,0.15866666666666668,0.04,0.008,0.0013333333333333333
Germantown,1,2,5,27,5,germantown,1.0,0.7406666666666667,0.39,0.114,0.026,0.005333333333333333,0.0006666666666666666
Sheboygan North,1,2,6,30,6,sheboygan-north,1.0,0.958,0.3006666666666667,0.08133333333333333,0.036,0.009333333333333334,0.0013333333333333333
Bay Port,1,2,7,14,7,bay-port,1.0,0.6633333333333333,0.29533333333333334,0.186,0.11133333333333334,0.03266666666666666,0.014
Menomonee Falls,1,2,8,29,8,menomonee-falls,1.0,0.476,0.12266666666666666,0.06266666666666666,0.016666666666666666,0.0033333333333333335,0.0
Homestead,1,2,9,22,9,homestead,1.0,0.524,0.15866666666666668,0.094,0.028,0.006,0.0
Oshkosh North,1,2,10,13,10,oshkosh-north,1.0,0.33666666666666667,0.14933333333333335,0.09533333333333334,0.056,0.015333333333333332,0.004666666666666667
Pewaukee,1,2,11,41,11,pewaukee,1.0,0.042,0.010666666666666666,0.0006666666666666666,0.0006666666666666666,0.0,0.0
Green Bay Preble,1,2,12,53,12,green-bay-preble,1.0,0.25933333333333336,0.07133333333333333,0.01,0.0013333333333333333,0.0,0.0
Fond Du Lac,1,2,13,48,13,fond-du-lac,1.0,0.232,0.076,0.008,0.0006666666666666666,0.0,0.0
Oshkosh West,1,2,14,51,14,oshkosh-west,1.0,0.042666666666666665,0.009333333333333334,0.0006666666666666666,0.0,0.0,0.0
Hamilton,1,2,15,58,15,hamilton,1.0,0.058666666666666666,0.005333333333333333,0.0013333333333333333,0.0,0.0,0.0
Manitowoc Lincoln,1,2,16,59,16,manitowoc-lincoln,1.0,0.025333333333333333,0.005333333333333333,0.0006666666666666666,0.0,0.0,0.0
Madison Memorial,1,3,1,3,1,madison-memorial,1.0,0.9966666666666667,0.7886666666666666,0.496,0.214,0.14066666666666666,0.07
Beloit Memorial,1,3,2,10,2,beloit-memorial,1.0,0.978,0.848,0.5733333333333334,0.39266666666666666,0.20733333333333334,0.12
Verona,1,3,3,2,3,verona,1.0,0.9266666666666666,0.78,0.346,0.24866666666666667,0.17733333333333334,0.08133333333333333
Waunakee,1,3,4,16,4,waunakee,1.0,0.852,0.4066666666666667,0.15266666666666667,0.03933333333333333,0.014,0.005333333333333333
Middleton,1,3,5,8,5,middleton,1.0,0.8353333333333334,0.52,0.2806666666666667,0.076,0.03,0.012666666666666666
