team,team-div,date,opp,opp-div,location,result,team-score,opp-score,teamline,teamwin%
Appleton East,1.0,2025-12-02 00:00:00+00:00,Marshfield,1.0,Home,L,59.0,81.0,19.5,0.019070634288108585
Appleton East,1.0,2025-12-05 00:00:00+00:00,Kaukauna,1.0,Home,L,60.0,87.0,20.5,0.012119069766057939
Appleton East,1.0,2025-12-06 00:00:00+00:00,Bay Port,1.0,Away,L,64.0,84.0,21.5,0.010509555349547683
Appleton East,1.0,2025-12-09 00:00:00+00:00,Pulaski,2.0,Home,W,57.0,56.0,5.5,0.2891054273862114
Appleton East,1.0,2025-12-12 00:00:00+00:00,Kimberly,1.0,Away,L,59.0,76.0,16.5,0.03879122072234257
Appleton East,1.0,2025-12-16 00:00:00+00:00,Hortonville,1.0,Away,L,49.0,89.0,3.5,0.3748211291770388
Appleton East,1.0,2025-12-19 00:00:00+00:00,Oshkosh North,1.0,Away,L,57.0,79.0,20.5,0.015074791761817299
Appleton East,1.0,2025-12-23 00:00:00+00:00,Neenah,1.0,Home,L,41.0,78.0,14.5,0.053771737053781736
Appleton East,1.0,2025-12-29 00:00:00+00:00,Seymour,3.0,Home,L,58.0,79.0,12.5,0.08503171890656365
Appleton East,1.0,2026-01-06 00:00:00+00:00,Fond du Lac,1.0,Home,L,53.0,68.0,8.5,0.17843821156929016
Appleton East,1.0,2026-01-09 00:00:00+00:00,Appleton North,1.0,Away,L,42.0,78.0,23.5,0.005269092872264668
Appleton East,1.0,2026-01-10 00:00:00+00:00,Stevens Point,1.0,Home,L,34.0,74.0,17.5,0.030236211185321816
Appleton East,1.0,2026-01-13 00:00:00+00:00,Appleton West,1.0,Away,L,65.0,81.0,3.5,0.3584269514676953
Appleton East,1.0,2026-01-16 00:00:00+00:00,Oshkosh West,1.0,Away,L,55.0,70.0,8.5,0.19221092895790798
Appleton East,1.0,2026-01-23 00:00:00+00:00,Kaukauna,1.0,Away,L,68.0,96.0,22.5,0.007108248080710336
Appleton East,1.0,2026-01-27 00:00:00+00:00,Kimberly,1.0,Home,L,52.0,63.0,16.5,0.03879122072234257
Appleton East,1.0,2026-01-30 00:00:00+00:00,Hortonville,1.0,Home,L,64.0,69.0,3.5,0.3748211291770388
Appleton East,1.0,2026-02-03 00:00:00+00:00,Oshkosh North,1.0,Home,L,51.0,92.0,17.5,0.0270105922693201
Appleton East,1.0,2026-02-06 00:00:00+00:00,Neenah,1.0,Away,L,56.0,78.0,17.5,0.026593014732574378
Appleton East,1.0,2026-02-13 00:00:00+00:00,Fond du Lac,1.0,Away,L,59.0,62.0,8.5,0.17843821156929016
Appleton East,1.0,2026-02-17 00:00:00+00:00,Appleton North,1.0,Home,L,42.0,74.0,21.5,0.01018246624571871
Appleton East,1.0,2026-02-20 00:00:00+00:00,Appleton West,1.0,Home,L,67.0,76.0,3.5,0.3584269514676953
Appleton East,1.0,2026-02-24 00:00:00+00:00,West De Pere,2.0,Away,L,56.0,70.0,17.5,0.0314757722047843
Appleton East,1.0,2026-02-26 00:00:00+00:00,Oshkosh West,1.0,Home,,,,8.5,0.19221092895790798
Appleton East,1.0,2026-03-03 00:00:00+00:00,Hortonville,1.0,Home,,,,3.5,0.3748211291770388
Appleton North,1.0,2025-11-28 00:00:00+00:00,Winneconne,3.0,Home,W,101.0,82.0,-13.5,0.9208098061577049
Appleton North,1.0,2025-12-05 00:00:00+00:00,Appleton West,1.0,Home,W,86.0,33.0,-20.5,0.985917631809517
Appleton North,1.0,2025-12-12 00:00:00+00:00,Oshkosh West,1.0,Away,W,65.0,61.0,-13.5,0.9264397508277907
Appleton North,1.0,2025-12-16 00:00:00+00:00,Kaukauna,1.0,Home,L,59.0,60.0,-3.5,0.6195569779105057
Appleton North,1.0,2025-12-18 00:00:00+00:00,Kimberly,1.0,Home,W,65.0,44.0,-7.5,0.7860417222429377
Appleton North,1.0,2025-12-19 00:00:00+00:00,Oregon,1.0,Home,W,65.0,48.0,-8.5,0.8263586499342384
Appleton North,1.0,2025-12-20 00:00:00+00:00,Yorkville Christian,1.0,Away,L,75.0,77.0,,0.9993708696296615
Appleton North,1.0,2025-12-23 00:00:00+00:00,Hortonville,1.0,Home,W,83.0,27.0,-20.5,0.9874070586745688
Appleton North,1.0,2025-12-29 00:00:00+00:00,Homestead,1.0,Home,W,70.0,58.0,-8.5,0.8026109148699418
Appleton North,1.0,2025-12-30 00:00:00+00:00,West Allis Central,1.0,Home,W,74.0,72.0,-2.5,0.5953024048961507
Appleton North,1.0,2026-01-06 00:00:00+00:00,Oshkosh North,1.0,Away,W,83.0,79.0,-1.5,0.5601840630394193
Appleton North,1.0,2026-01-09 00:00:00+00:00,Appleton East,1.0,Home,W,78.0,42.0,-23.5,0.9947309071277354
Appleton North,1.0,2026-01-13 00:00:00+00:00,Fond du Lac,1.0,Away,W,61.0,42.0,-13.5,0.9189768272216753
Appleton North,1.0,2026-01-16 00:00:00+00:00,Neenah,1.0,Home,W,44.0,26.0,-9.5,0.8285160676348359
Appleton North,1.0,2026-01-22 00:00:00+00:00,Appleton West,1.0,Away,W,91.0,48.0,-18.5,0.9748197334090929
Appleton North,1.0,2026-01-27 00:00:00+00:00,Oshkosh West,1.0,Home,W,60.0,42.0,-15.5,0.9542821962267891
Appleton North,1.0,2026-01-30 00:00:00+00:00,Kaukauna,1.0,Away,W,63.0,52.0,1.5,0.44741681695689633
Appleton North,1.0,2026-02-03 00:00:00+00:00,Kimberly,1.0,Away,W,67.0,55.0,-5.5,0.7104386599741394
Appleton North,1.0,2026-02-06 00:00:00+00:00,Hortonville,1.0,Away,W,80.0,63.0,-18.5,0.9772738533744253
Appleton North,1.0,2026-02-13 00:00:00+00:00,Oshkosh North,1.0,Home,L,57.0,61.0,-6.5,0.735974548441561
Appleton North,1.0,2026-02-17 00:00:00+00:00,Appleton East,1.0,Away,W,74.0,42.0,-21.5,0.9898175337542813
Appleton North,1.0,2026-02-20 00:00:00+00:00,Fond du Lac,1.0,Home,W,60.0,55.0,-15.5,0.9491134181474647
Appleton North,1.0,2026-02-24 00:00:00+00:00,Bay Port,1.0,Home,L,39.0,56.0,-5.5,0.7194493054933389
Appleton North,1.0,2026-02-26 00:00:00+00:00,Neenah,1.0,Away,,,,-3.5,0.6503065235764062
Appleton North,1.0,2026-03-06 00:00:00+00:00,Appleton East OR Hortonville,1.0,Home,,,,,0.999733330912184
Appleton West,1.0,2025-12-01 00:00:00+00:00,Wautoma,3.0,Home,W,65.0,60.0,-4.5,0.6577103362740285
Appleton West,1.0,2025-12-04 00:00:00+00:00,Kaukauna,1.0,Away,L,52.0,92.0,19.5,0.01835028976062567
Appleton West,1.0,2025-12-05 00:00:00+00:00,Appleton North,1.0,Away,L,33.0,86.0,20.5,0.014082368190483044
