Division,Team,BBMI_Rank,BBMI_Score,Record,Q_Wins,HCA,Best_Win_Rank,RAW_Points_Scored,RAW_Points_Against,RAW_Point_Difference,RAW_Field_Goal_Percentage,RAW_Three_Point_Percentage,RAW_Effective_Field_Goal_Percentage,RAW_Free_Throw_Percentage,RAW_Offensive_Rebounds_Per_Game,RAW_Defensive_Rebounds_Per_Game,RAW_Rebounds_Per_Game,RAW_Assists_Per_Game,RAW_Steals_Per_Game,RAW_Blocks_Per_Game,RAW_Charges_Taken_Per_Game,RAW_Turnovers_Per_Game,RAW_Q_Wins,RANK_Points_Scored,RANK_Points_Against,RANK_Point_Difference,RANK_Field_Goal_Percentage,RANK_Three_Point_Percentage,RANK_Effective_Field_Goal_Percentage,RANK_Free_Throw_Percentage,RANK_Offensive_Rebounds_Per_Game,RANK_Defensive_Rebounds_Per_Game,RANK_Rebounds_Per_Game,RANK_Assists_Per_Game,RANK_Steals_Per_Game,RANK_Blocks_Per_Game,RANK_Charges_Taken_Per_Game,RANK_Turnovers_Per_Game,RANK_Q_Wins,WTRANK_Points_Scored,WTRANK_Points_Against,WTRANK_Point_Difference,WTRANK_Field_Goal_Percentage,WTRANK_Three_Point_Percentage,WTRANK_Effective_Field_Goal_Percentage,WTRANK_Free_Throw_Percentage,WTRANK_Offensive_Rebounds_Per_Game,WTRANK_Defensive_Rebounds_Per_Game,WTRANK_Rebounds_Per_Game,WTRANK_Assists_Per_Game,WTRANK_Steals_Per_Game,WTRANK_Blocks_Per_Game,WTRANK_Charges_Taken_Per_Game,WTRANK_Turnovers_Per_Game,WTRANK_Q_Wins,WTRANK_TOTAL
1,Wisconsin Lutheran,1,47.9817,28-0,120.0,-0.795,7,74.6,44.2,30.4,0.564,0.389,0.636,0.716,10.9,24.0,34.9,19.5,8.4,4.1,0.0,9.5,120.0,33.82,50.0,50.0,47.211,42.885,47.637,29.053,29.986,32.928,32.112,48.785,28.579,50.0,1.0,44.861,50.0,0.0,5.45,7.2,2.0301,1.3294,0.2382,0.0,0.0,0.0,2.1836,0.5854,1.2289,0.25,0.0,4.4861,22.0,46.9817
1,De Pere,2,41.5102,25-3,113.66,-0.657,12,76.8,59.2,17.6,0.533,0.403,0.628,0.781,7.4,21.6,29.0,15.9,6.5,2.2,0.0,9.9,113.66,36.292,33.059,38.448,41.036,47.413,46.061,33.847,15.406,27.806,24.51,34.203,22.343,28.889,1.0,42.805,48.734,0.0,3.6034,5.5365,1.7645,1.4698,0.2303,0.0,0.0,0.0,1.6667,0.4104,0.9607,0.1444,0.0,4.2805,21.4429,41.5101
1,Appleton North,3,40.6524,24-4,102.98,-1.28,4,68.6,51.9,16.6,0.5052,0.3676,0.5768,0.7068,9.0,21.4417,30.4583,15.5667,8.4727,2.1727,0.0,10.7636,102.98,27.079,41.304,37.545,35.498,35.964,35.979,28.374,25.173,27.468,26.556,32.853,28.805,28.586,1.0,38.367,46.601,0.0,4.5021,5.4065,1.5264,1.1149,0.1799,0.0,0.0,0.0,1.8058,0.3942,1.2386,0.1429,0.0,3.8367,20.5044,40.6524
1,Kaukauna,4,39.4559,24-4,85.12,-0.875,3,73.5,57.8,15.8,0.543,0.395,0.628,0.725,6.0,22.8,28.8,14.4,5.3,3.6,0.0,8.5,85.12,32.584,34.64,36.823,43.028,44.825,46.061,29.717,6.637,30.367,24.053,28.128,18.074,44.444,1.0,50.0,43.034,0.0,3.7758,5.3025,1.8502,1.3896,0.2303,0.0,0.0,0.0,1.6356,0.3375,0.7772,0.2222,0.0,5.0,18.935,39.4559
1,West Allis Central,5,39.2939,23-3,58.58,-1.658,12,89.0,60.5,28.4,0.556,0.362,0.61,0.694,10.2,23.3,33.5,17.0,9.8,3.8,0.0,8.7,58.58,50.0,31.591,48.195,45.618,34.153,42.517,27.43,28.213,31.434,30.361,38.659,32.926,46.667,1.0,48.972,37.734,0.0,3.4434,6.9401,1.9616,1.0587,0.2126,0.0,0.0,0.0,2.0645,0.4639,1.4158,0.2333,0.0,4.8972,16.6028,39.2939
1,Madison Memorial,6,38.8877,27-2,89.56,-1.367,7,74.9,57.5,17.4,0.5052,0.3676,0.5768,0.7068,9.0,21.4417,30.4583,15.5667,8.4727,2.1727,0.0,10.7636,89.56,34.157,34.979,38.267,35.498,35.964,35.979,28.374,25.173,27.468,26.556,32.853,28.805,28.586,1.0,38.367,43.921,0.0,3.8127,5.5105,1.5264,1.1149,0.1799,0.0,0.0,0.0,1.8058,0.3942,1.2386,0.1429,0.0,3.8367,19.3251,38.8877
1,Verona,7,37.8888,22-5,83.96,-1.886,6,74.7,59.4,15.3,0.5052,0.3676,0.5768,0.7068,9.0,21.4417,30.4583,15.5667,8.4727,2.1727,0.0,10.7636,83.96,33.933,32.833,36.372,35.498,35.964,35.979,28.374,25.173,27.468,26.556,32.853,28.805,28.586,1.0,38.367,42.802,0.0,3.5788,5.2375,1.5264,1.1149,0.1799,0.0,0.0,0.0,1.8058,0.3942,1.2386,0.1429,0.0,3.8367,18.833,37.8887
1,Beloit Memorial,8,37.64,24-3,57.26,-1.749,10,84.9,63.3,21.6,0.511,0.33,0.557,0.722,12.4,19.8,32.2,18.6,14.1,0.8,0.0,8.5,57.26,45.393,28.428,42.058,36.653,24.021,32.08,29.496,33.786,23.542,28.734,45.139,46.275,6.333,1.0,50.0,37.47,0.0,3.0987,6.0563,1.5761,0.7446,0.1604,0.0,0.0,0.0,1.9539,0.5417,1.9898,0.0317,0.0,5.0,16.4868,37.64
1,Marshfield,9,36.3549,21-6,52.16,-1.726,4,67.6,52.3,15.3,0.525,0.397,0.62,0.725,6.2,23.6,29.8,16.1,5.7,1.7,0.0,10.1,52.16,25.955,40.852,36.372,39.442,45.472,44.486,29.717,7.89,32.074,25.732,35.013,19.497,22.333,1.0,41.777,36.452,0.0,4.4528,5.2375,1.696,1.4096,0.2224,0.0,0.0,0.0,1.7498,0.4202,0.8384,0.1117,0.0,4.1777,16.0387,36.3548
1,D.C. Everest,10,36.2146,22-4,54.8,-1.003,9,79.3,62.0,17.3,0.578,0.384,0.648,0.711,6.3,24.1,30.3,17.7,8.4727,2.1727,0.0,10.7636,54.8,39.101,29.896,38.177,50.0,41.268,50.0,28.684,8.516,33.141,26.358,41.494,28.805,28.586,1.0,38.367,36.979,0.0,3.2587,5.4975,2.15,1.2793,0.25,0.0,0.0,0.0,1.7923,0.4979,1.2386,0.1429,0.0,3.8367,16.2707,36.2146
